CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.083;0.077;0.077;0.001;25;0.138;0.128;0.129;0.002;15
PART;0.119;0.144;0.123;0.001;25;0.228;0.276;0.236;0.002;13
SVM_Poly[3,2.0,0.5];0.164;0.107;0.121;0.001;25;0.315;0.205;0.232;0.002;13
RandomForest;0.502;0.019;0.035;0.001;25;0.896;0.033;0.063;0.002;14
RandomCommittee;0.233;0.063;0.096;0.001;25;0.364;0.099;0.150;0.002;16
JRip;0.077;0.069;0.070;0.001;25;0.215;0.190;0.193;0.003;9


VALIDITY RATIO;(F)
min;0.000017
avg;0.001041
max;0.004578

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.01];0.196;0.080;0.087;0.001;150;0.368;0.149;0.163;0.002;80

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
EC2;0.006;0.002;0.003;0.000;30;0.084;0.031;0.045;0.000;2
Context Feature Model;0.520;0.266;0.309;0.005;30;0.520;0.266;0.309;0.005;30
Stacja Pogodowa;0.239;0.056;0.061;0.000;30;0.276;0.064;0.070;0.000;26
Mobile Phone;0.184;0.067;0.058;0.000;30;0.275;0.100;0.086;0.000;20
Connector PL;0.034;0.007;0.004;0.000;30;0.503;0.111;0.058;0.000;2
