CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_Poly[3,2.0,0.5];Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomForest;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomForest;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomForest;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomForest;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomForest;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomCommittee;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomCommittee;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomCommittee;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomCommittee;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomCommittee;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
IBk;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
IBk;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
IBk;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
IBk;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
IBk;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
PART;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
PART;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
PART;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
PART;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
PART;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
JRip;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
JRip;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
JRip;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
JRip;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
JRip;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
RandomForest;Random[0.005];EC2;1;0;31;1048544;1.000;0.031;0.061
RandomForest;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
RandomForest;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
RandomForest;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
RandomForest;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
