CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.059;0.057;0.054;0.001;25;0.105;0.102;0.096;0.002;14
PART;0.053;0.052;0.048;0.001;25;0.165;0.161;0.151;0.003;8
SVM_Poly[3,2.0,0.5];0.082;0.058;0.065;0.001;25;0.228;0.161;0.182;0.003;9
RandomForest;0.457;0.014;0.026;0.001;25;0.878;0.026;0.049;0.002;13
RandomCommittee;0.130;0.030;0.048;0.001;25;0.296;0.069;0.109;0.002;11
JRip;0.045;0.044;0.038;0.001;25;0.189;0.182;0.160;0.003;6


VALIDITY RATIO;(F)
min;0.000017
avg;0.001041
max;0.004578

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.005];0.138;0.042;0.047;0.001;150;0.339;0.104;0.115;0.002;61

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
EC2;0.035;0.009;0.005;0.000;30;0.350;0.094;0.048;0.000;3
Context Feature Model;0.373;0.158;0.188;0.005;30;0.385;0.163;0.195;0.005;29
Stacja Pogodowa;0.164;0.023;0.027;0.000;30;0.246;0.035;0.041;0.000;20
Mobile Phone;0.117;0.021;0.013;0.000;30;0.389;0.071;0.042;0.000;9
Connector PL;0.000;0.000;0.000;0.000;30;0.000;0.000;0.000;0.000;0
