CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
PART;0.020;0.038;0.024;0.001;25;0.082;0.160;0.102;0.004;6
RandomForest;0.194;0.001;0.002;0.001;25;0.693;0.004;0.008;0.003;7
RandomCommittee;0.053;0.013;0.020;0.001;25;0.263;0.065;0.100;0.005;5
JRip;0.018;0.024;0.020;0.001;25;0.149;0.201;0.167;0.005;3


VALIDITY RATIO;(F)
min;0.000017
avg;0.001041
max;0.004578

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.001];0.071;0.019;0.017;0.001;100;0.338;0.091;0.079;0.004;21

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
EC2;0.000;0.003;0.000;0.000;20;0.000;0.063;0.000;0.000;1
Context Feature Model;0.255;0.092;0.083;0.005;20;0.284;0.103;0.092;0.005;18
Stacja Pogodowa;0.100;0.000;0.001;0.000;20;1.000;0.003;0.007;0.000;2
Mobile Phone;0.000;0.000;0.000;0.000;20;0.000;0.000;0.000;0.000;0
Connector PL;0.000;0.000;0.000;0.000;20;0.000;0.000;0.000;0.000;0
