CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
RandomForest;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomForest;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomForest;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomForest;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomForest;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomCommittee;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomCommittee;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomCommittee;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomCommittee;Random[0.005];Connector PL;1;11;17;1048547;0.083;0.056;0.067
RandomCommittee;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
PART;Random[0.005];Connector PL;2;2046;16;1046512;0.001;0.111;0.002
PART;Random[0.005];Connector PL;1;1023;17;1047535;0.001;0.056;0.002
PART;Random[0.005];Connector PL;1;1023;17;1047535;0.001;0.056;0.002
PART;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
PART;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
JRip;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
JRip;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
JRip;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
JRip;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
JRip;Random[0.005];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomForest;Random[0.005];EC2;1;0;31;1048544;1.000;0.031;0.061
RandomForest;Random[0.005];EC2;1;0;31;1048544;1.000;0.031;0.061
RandomForest;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
RandomForest;Random[0.005];EC2;1;0;31;1048544;1.000;0.031;0.061
RandomForest;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
RandomCommittee;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
RandomCommittee;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
RandomCommittee;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
RandomCommittee;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
RandomCommittee;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
PART;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
PART;Random[0.005];EC2;1;1023;31;1047521;0.001;0.031;0.002
PART;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
PART;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
PART;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
JRip;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
JRip;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
JRip;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
JRip;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
JRip;Random[0.005];EC2;0;0;32;1048544;NaN;0.000;NaN
RandomForest;Random[0.005];Context Feature Model;187;54;4613;1043722;0.776;0.039;0.074
RandomForest;Random[0.005];Context Feature Model;42;6;4758;1043770;0.875;0.009;0.017
RandomForest;Random[0.005];Context Feature Model;229;136;4571;1043640;0.627;0.048;0.089
RandomForest;Random[0.005];Context Feature Model;122;19;4678;1043757;0.865;0.025;0.049
RandomForest;Random[0.005];Context Feature Model;99;28;4701;1043748;0.780;0.021;0.040
RandomCommittee;Random[0.005];Context Feature Model;410;394;4390;1043382;0.510;0.085;0.146
RandomCommittee;Random[0.005];Context Feature Model;711;759;4089;1043017;0.484;0.148;0.227
RandomCommittee;Random[0.005];Context Feature Model;589;717;4211;1043059;0.451;0.123;0.193
RandomCommittee;Random[0.005];Context Feature Model;637;858;4163;1042918;0.426;0.133;0.202
RandomCommittee;Random[0.005];Context Feature Model;482;541;4318;1043235;0.471;0.100;0.166
PART;Random[0.005];Context Feature Model;1676;5164;3124;1038612;0.245;0.349;0.288
PART;Random[0.005];Context Feature Model;2316;4156;2484;1039620;0.358;0.483;0.411
PART;Random[0.005];Context Feature Model;1465;4609;3335;1039167;0.241;0.305;0.269
PART;Random[0.005];Context Feature Model;1445;5439;3355;1038337;0.210;0.301;0.247
PART;Random[0.005];Context Feature Model;2278;5074;2522;1038702;0.310;0.475;0.375
JRip;Random[0.005];Context Feature Model;1032;2040;3768;1041736;0.336;0.215;0.262
JRip;Random[0.005];Context Feature Model;384;1664;4416;1042112;0.188;0.080;0.112
JRip;Random[0.005];Context Feature Model;568;2504;4232;1041272;0.185;0.118;0.144
JRip;Random[0.005];Context Feature Model;1088;2880;3712;1040896;0.274;0.227;0.248
JRip;Random[0.005];Context Feature Model;1720;6032;3080;1037744;0.222;0.358;0.274
RandomForest;Random[0.005];Mobile Phone;1;0;161;1048414;1.000;0.006;0.012
RandomForest;Random[0.005];Mobile Phone;0;0;162;1048414;NaN;0.000;NaN
RandomForest;Random[0.005];Mobile Phone;2;0;160;1048414;1.000;0.012;0.024
