CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
PART;0.139;0.185;0.148;0.001;25;0.218;0.289;0.231;0.002;16
RandomForest;0.517;0.020;0.037;0.001;25;0.862;0.033;0.061;0.002;15
RandomCommittee;0.228;0.060;0.089;0.001;25;0.316;0.083;0.124;0.001;18
JRip;0.071;0.093;0.078;0.001;25;0.196;0.258;0.216;0.003;9


VALIDITY RATIO;(F)
min;0.000017
avg;0.001041
max;0.004578

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.01];0.239;0.089;0.088;0.001;100;0.412;0.154;0.152;0.002;58

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
EC2;0.016;0.030;0.011;0.000;20;0.063;0.119;0.044;0.000;5
Context Feature Model;0.607;0.309;0.334;0.005;20;0.607;0.309;0.334;0.005;20
Stacja Pogodowa;0.247;0.048;0.046;0.000;20;0.290;0.057;0.055;0.000;17
Mobile Phone;0.274;0.046;0.037;0.000;20;0.392;0.066;0.054;0.000;14
Connector PL;0.050;0.014;0.011;0.000;20;0.503;0.139;0.106;0.000;2
