CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.299;0.251;0.263;0.031;50;0.880;0.739;0.775;0.067;17
SVM_RBF[5.0];0.740;0.098;0.168;0.031;50;1.000;0.133;0.227;0.040;37
SVM_Poly[3,2.0,0.5];0.446;0.398;0.391;0.031;50;0.603;0.538;0.528;0.040;37
REPTree;0.142;0.160;0.147;0.031;50;0.788;0.889;0.816;0.105;9
RandomForest;0.580;0.279;0.336;0.031;50;0.879;0.423;0.509;0.043;33
RandomCommittee;0.479;0.450;0.439;0.031;50;0.598;0.562;0.549;0.038;40
SVM_Puk[1.0, 0.1];0.660;0.093;0.155;0.031;50;1.000;0.141;0.234;0.043;33
MultilayerPerceptron[a];0.309;0.474;0.352;0.031;50;0.441;0.677;0.502;0.042;35
J48;0.093;0.099;0.096;0.031;50;0.933;0.994;0.961;0.157;5


VALIDITY RATIO;(F)
min;0.001953
avg;0.031250
max;0.157227

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.1];0.417;0.256;0.261;0.031;450;0.762;0.468;0.477;0.047;246

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
AA;0.325;0.156;0.167;0.017;45;0.636;0.304;0.327;0.017;23
Prontuário Eletrônico de Pacientes;0.339;0.184;0.174;0.011;45;0.663;0.360;0.340;0.011;23
rtrt;0.518;0.272;0.295;0.020;45;0.777;0.408;0.442;0.020;30
Computer Selection;0.129;0.089;0.095;0.003;45;0.725;0.500;0.534;0.003;8
FeatureModel1;0.395;0.214;0.212;0.017;45;0.710;0.386;0.381;0.017;25
Phone;0.584;0.369;0.375;0.046;45;0.730;0.461;0.469;0.046;36
CIMS PL;0.029;0.067;0.026;0.002;45;0.257;0.600;0.232;0.002;5
Simnumero;0.201;0.079;0.082;0.009;45;0.532;0.209;0.216;0.009;17
test gv;0.682;0.395;0.418;0.032;45;0.903;0.522;0.553;0.032;34
WebApp;0.964;0.733;0.764;0.157;45;0.964;0.733;0.764;0.157;45
