CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.564;0.502;0.523;0.017;50;0.855;0.760;0.793;0.020;33
SVM_RBF[5.0];1.000;0.319;0.480;0.017;50;1.000;0.319;0.480;0.017;50
SVM_Poly[3,2.0,0.5];0.706;0.786;0.732;0.017;50;0.706;0.786;0.732;0.017;50
REPTree;0.511;0.440;0.459;0.017;50;0.799;0.687;0.717;0.023;32
RandomForest;0.972;0.569;0.680;0.017;50;0.972;0.569;0.680;0.017;50
RandomCommittee;0.844;0.725;0.768;0.017;50;0.844;0.725;0.768;0.017;50
SVM_Puk[1.0, 0.1];0.980;0.290;0.444;0.017;50;1.000;0.296;0.453;0.018;49
MultilayerPerceptron[a];0.855;0.787;0.808;0.017;50;0.891;0.819;0.842;0.018;48
J48;0.340;0.358;0.347;0.017;50;0.849;0.894;0.867;0.028;20


VALIDITY RATIO;(F)
min;0.002197
avg;0.017236
max;0.059082

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.30000000000000004];0.752;0.531;0.582;0.017;450;0.886;0.625;0.686;0.019;382

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
carpl;0.534;0.283;0.322;0.003;45;0.800;0.425;0.483;0.003;30
Doorlopende reisverzekering;0.993;0.833;0.873;0.016;45;0.993;0.833;0.873;0.016;45
AvionFEatures;0.793;0.535;0.600;0.013;45;0.850;0.574;0.643;0.013;42
test_fm;0.597;0.343;0.396;0.002;45;0.867;0.498;0.574;0.002;31
Ökonomische Merkmale;0.921;0.736;0.786;0.024;45;0.921;0.736;0.786;0.024;45
MyFM;0.639;0.376;0.448;0.020;45;0.845;0.498;0.593;0.020;34
Example Mobile Phone;0.662;0.421;0.481;0.015;45;0.851;0.541;0.619;0.015;35
E-portal;0.769;0.552;0.601;0.008;45;0.865;0.621;0.677;0.008;40
ETRobocon;0.980;0.834;0.865;0.059;45;0.980;0.834;0.865;0.059;45
SAL;0.637;0.391;0.451;0.013;45;0.819;0.503;0.580;0.013;35
