CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_RBF[5.0];Random[0.6000000000000001];Phone sple;138;0;86;7968;1.000;0.616;0.762
SVM_RBF[5.0];Random[0.6000000000000001];Phone sple;144;0;80;7968;1.000;0.643;0.783
SVM_RBF[5.0];Random[0.6000000000000001];Phone sple;134;0;90;7968;1.000;0.598;0.749
SVM_RBF[5.0];Random[0.6000000000000001];Phone sple;127;0;97;7968;1.000;0.567;0.724
SVM_RBF[5.0];Random[0.6000000000000001];Phone sple;130;0;94;7968;1.000;0.580;0.734
SVM_Poly[3,2.0,0.5];Random[0.6000000000000001];Phone sple;224;3;0;7965;0.987;1.000;0.993
SVM_Poly[3,2.0,0.5];Random[0.6000000000000001];Phone sple;224;6;0;7962;0.974;1.000;0.987
SVM_Poly[3,2.0,0.5];Random[0.6000000000000001];Phone sple;222;4;2;7964;0.982;0.991;0.987
SVM_Poly[3,2.0,0.5];Random[0.6000000000000001];Phone sple;224;5;0;7963;0.978;1.000;0.989
SVM_Poly[3,2.0,0.5];Random[0.6000000000000001];Phone sple;224;3;0;7965;0.987;1.000;0.993
RandomForest;Random[0.6000000000000001];Phone sple;210;0;14;7968;1.000;0.938;0.968
RandomForest;Random[0.6000000000000001];Phone sple;222;1;2;7967;0.996;0.991;0.993
RandomForest;Random[0.6000000000000001];Phone sple;218;0;6;7968;1.000;0.973;0.986
RandomForest;Random[0.6000000000000001];Phone sple;208;3;16;7965;0.986;0.929;0.956
RandomForest;Random[0.6000000000000001];Phone sple;218;0;6;7968;1.000;0.973;0.986
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Phone sple;121;0;103;7968;1.000;0.540;0.701
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Phone sple;152;0;72;7968;1.000;0.679;0.809
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Phone sple;125;0;99;7968;1.000;0.558;0.716
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Phone sple;131;0;93;7968;1.000;0.585;0.738
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Phone sple;121;0;103;7968;1.000;0.540;0.701
RandomCommittee;Random[0.6000000000000001];Phone sple;213;1;11;7967;0.995;0.951;0.973
RandomCommittee;Random[0.6000000000000001];Phone sple;219;0;5;7968;1.000;0.978;0.989
RandomCommittee;Random[0.6000000000000001];Phone sple;221;0;3;7968;1.000;0.987;0.993
RandomCommittee;Random[0.6000000000000001];Phone sple;220;2;4;7966;0.991;0.982;0.987
RandomCommittee;Random[0.6000000000000001];Phone sple;211;1;13;7967;0.995;0.942;0.968
REPTree;Random[0.6000000000000001];Phone sple;216;0;8;7968;1.000;0.964;0.982
REPTree;Random[0.6000000000000001];Phone sple;216;8;8;7960;0.964;0.964;0.964
REPTree;Random[0.6000000000000001];Phone sple;216;0;8;7968;1.000;0.964;0.982
REPTree;Random[0.6000000000000001];Phone sple;212;4;12;7964;0.981;0.946;0.964
REPTree;Random[0.6000000000000001];Phone sple;208;0;16;7968;1.000;0.929;0.963
LogisticModelTree;Random[0.6000000000000001];Phone sple;223;0;1;7968;1.000;0.996;0.998
LogisticModelTree;Random[0.6000000000000001];Phone sple;224;0;0;7968;1.000;1.000;1.000
LogisticModelTree;Random[0.6000000000000001];Phone sple;224;0;0;7968;1.000;1.000;1.000
LogisticModelTree;Random[0.6000000000000001];Phone sple;224;0;0;7968;1.000;1.000;1.000
LogisticModelTree;Random[0.6000000000000001];Phone sple;224;0;0;7968;1.000;1.000;1.000
MultilayerPerceptron[a];Random[0.6000000000000001];Phone sple;144;0;80;7968;1.000;0.643;0.783
MultilayerPerceptron[a];Random[0.6000000000000001];Phone sple;144;0;80;7968;1.000;0.643;0.783
MultilayerPerceptron[a];Random[0.6000000000000001];Phone sple;144;0;80;7968;1.000;0.643;0.783
MultilayerPerceptron[a];Random[0.6000000000000001];Phone sple;144;0;80;7968;1.000;0.643;0.783
MultilayerPerceptron[a];Random[0.6000000000000001];Phone sple;144;0;80;7968;1.000;0.643;0.783
J48;Random[0.6000000000000001];Phone sple;216;0;8;7968;1.000;0.964;0.982
