CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.712;0.652;0.668;0.030;100;0.962;0.880;0.903;0.040;74
SVM_RBF[5.0];0.990;0.673;0.795;0.030;100;1.000;0.680;0.803;0.031;99
SVM_Poly[3,2.0,0.5];0.848;0.910;0.861;0.030;100;0.857;0.919;0.869;0.031;99
REPTree;0.624;0.585;0.596;0.030;100;0.879;0.825;0.840;0.041;71
RandomForest;0.988;0.893;0.932;0.030;100;0.998;0.902;0.941;0.031;99
RandomCommittee;0.938;0.884;0.903;0.030;100;0.957;0.902;0.922;0.031;98
SVM_Puk[1.0, 0.1];1.000;0.707;0.821;0.030;100;1.000;0.707;0.821;0.030;100
MultilayerPerceptron[a];0.874;0.794;0.823;0.030;100;0.940;0.853;0.885;0.033;93
J48;0.532;0.478;0.499;0.030;100;0.968;0.869;0.907;0.050;55


VALIDITY RATIO;(F)
min;0.001465
avg;0.030469
max;0.157227

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.7000000000000001];0.834;0.731;0.766;0.030;900;0.953;0.835;0.875;0.034;788

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
AA;0.768;0.586;0.638;0.017;45;0.934;0.712;0.776;0.017;37
Prontuário Eletrônico de Pacientes;0.776;0.675;0.710;0.011;45;0.944;0.821;0.863;0.011;37
CIMS PL;0.459;0.433;0.412;0.002;45;0.826;0.780;0.741;0.002;25
VODPlayer;0.951;0.893;0.913;0.048;45;0.951;0.893;0.913;0.048;45
isolation;0.722;0.597;0.636;0.004;45;0.902;0.747;0.795;0.004;36
VOD feature model;0.994;0.910;0.944;0.016;45;0.994;0.910;0.944;0.016;45
Mauricio Alférez;0.795;0.667;0.715;0.005;45;0.941;0.789;0.846;0.005;38
test gv;0.994;0.923;0.953;0.032;45;0.994;0.923;0.953;0.032;45
desordem;0.927;0.766;0.831;0.028;45;0.927;0.766;0.831;0.028;45
SmartHome- Simplified Sample;0.797;0.671;0.721;0.005;45;0.969;0.816;0.877;0.005;37
SmartHome_vConejero_r1;0.498;0.415;0.433;0.001;45;0.862;0.718;0.749;0.001;26
rtrt;0.981;0.899;0.930;0.020;45;0.981;0.899;0.930;0.020;45
MobileMedia;0.989;0.918;0.948;0.028;45;0.989;0.918;0.948;0.028;45
Computer Selection;0.567;0.422;0.463;0.003;45;0.944;0.704;0.772;0.003;27
FeatureModel1;0.980;0.880;0.916;0.017;45;0.980;0.880;0.916;0.017;45
Phone;0.980;0.887;0.926;0.046;45;0.980;0.887;0.926;0.046;45
ordem;0.931;0.737;0.812;0.028;45;0.931;0.737;0.812;0.028;45
Simnumero;0.589;0.474;0.517;0.009;45;0.883;0.711;0.775;0.009;30
Mobile Game;0.985;0.931;0.952;0.133;45;0.985;0.931;0.952;0.133;45
WebApp;0.998;0.931;0.959;0.157;45;0.998;0.931;0.959;0.157;45
