CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_RBF[5.0];Random[0.6];SAL;29;0;23;4044;1.000;0.558;0.716
SVM_Poly[3,2.0,0.5];Random[0.6];SAL;52;12;0;4032;0.813;1.000;0.897
RandomForest;Random[0.6];SAL;28;0;24;4044;1.000;0.538;0.700
SVM_Puk[1.0, 0.1];Random[0.6];SAL;32;0;20;4044;1.000;0.615;0.762
RandomCommittee;Random[0.6];SAL;47;7;5;4037;0.870;0.904;0.887
REPTree;Random[0.6];SAL;32;24;20;4020;0.571;0.615;0.593
LogisticModelTree;Random[0.6];SAL;24;24;28;4020;0.500;0.462;0.480
MultilayerPerceptron;Random[0.6];SAL;48;0;4;4044;1.000;0.923;0.960
J48;Random[0.6];SAL;0;0;52;4044;NaN;0.000;NaN
SVM_RBF[5.0];Random[0.6];Mobile Game;176;0;96;1776;1.000;0.647;0.786
SVM_Poly[3,2.0,0.5];Random[0.6];Mobile Game;270;0;2;1776;1.000;0.993;0.996
RandomForest;Random[0.6];Mobile Game;271;2;1;1774;0.993;0.996;0.994
SVM_Puk[1.0, 0.1];Random[0.6];Mobile Game;167;0;105;1776;1.000;0.614;0.761
RandomCommittee;Random[0.6];Mobile Game;267;0;5;1776;1.000;0.982;0.991
REPTree;Random[0.6];Mobile Game;270;10;2;1766;0.964;0.993;0.978
LogisticModelTree;Random[0.6];Mobile Game;272;2;0;1774;0.993;1.000;0.996
MultilayerPerceptron;Random[0.6];Mobile Game;270;0;2;1776;1.000;0.993;0.996
J48;Random[0.6];Mobile Game;270;10;2;1766;0.964;0.993;0.978
SVM_RBF[5.0];Random[0.6];E-portal;20;0;14;4062;1.000;0.588;0.741
SVM_Poly[3,2.0,0.5];Random[0.6];E-portal;32;1;2;4061;0.970;0.941;0.955
RandomForest;Random[0.6];E-portal;27;1;7;4061;0.964;0.794;0.871
SVM_Puk[1.0, 0.1];Random[0.6];E-portal;22;0;12;4062;1.000;0.647;0.786
RandomCommittee;Random[0.6];E-portal;29;2;5;4060;0.935;0.853;0.892
REPTree;Random[0.6];E-portal;32;0;2;4062;1.000;0.941;0.970
LogisticModelTree;Random[0.6];E-portal;33;0;1;4062;1.000;0.971;0.985
MultilayerPerceptron;Random[0.6];E-portal;32;0;2;4062;1.000;0.941;0.970
J48;Random[0.6];E-portal;32;0;2;4062;1.000;0.941;0.970
SVM_RBF[5.0];Random[0.6];test_fm;3;0;6;4087;1.000;0.333;0.500
SVM_Poly[3,2.0,0.5];Random[0.6];test_fm;9;4;0;4083;0.692;1.000;0.818
RandomForest;Random[0.6];test_fm;9;0;0;4087;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Random[0.6];test_fm;5;0;4;4087;1.000;0.556;0.714
RandomCommittee;Random[0.6];test_fm;9;1;0;4086;0.900;1.000;0.947
REPTree;Random[0.6];test_fm;8;0;1;4087;1.000;0.889;0.941
LogisticModelTree;Random[0.6];test_fm;9;0;0;4087;1.000;1.000;1.000
MultilayerPerceptron;Random[0.6];test_fm;8;0;1;4087;1.000;0.889;0.941
J48;Random[0.6];test_fm;0;0;9;4087;NaN;0.000;NaN
SVM_RBF[5.0];Random[0.6];VOD feature model;18;0;15;2015;1.000;0.545;0.706
SVM_Poly[3,2.0,0.5];Random[0.6];VOD feature model;33;8;0;2007;0.805;1.000;0.892
RandomForest;Random[0.6];VOD feature model;33;0;0;2015;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Random[0.6];VOD feature model;17;0;16;2015;1.000;0.515;0.680
RandomCommittee;Random[0.6];VOD feature model;24;0;9;2015;1.000;0.727;0.842
REPTree;Random[0.6];VOD feature model;32;0;1;2015;1.000;0.970;0.985
LogisticModelTree;Random[0.6];VOD feature model;33;0;0;2015;1.000;1.000;1.000
MultilayerPerceptron;Random[0.6];VOD feature model;32;0;1;2015;1.000;0.970;0.985
J48;Random[0.6];VOD feature model;32;0;1;2015;1.000;0.970;0.985
SVM_RBF[5.0];Random[0.6];VODPlayer;65;0;33;1950;1.000;0.663;0.798
SVM_Poly[3,2.0,0.5];Random[0.6];VODPlayer;96;0;2;1950;1.000;0.980;0.990
RandomForest;Random[0.6];VODPlayer;98;1;0;1949;0.990;1.000;0.995
SVM_Puk[1.0, 0.1];Random[0.6];VODPlayer;57;0;41;1950;1.000;0.582;0.735
RandomCommittee;Random[0.6];VODPlayer;96;4;2;1946;0.960;0.980;0.970
REPTree;Random[0.6];VODPlayer;96;0;2;1950;1.000;0.980;0.990
LogisticModelTree;Random[0.6];VODPlayer;98;0;0;1950;1.000;1.000;1.000
MultilayerPerceptron;Random[0.6];VODPlayer;96;0;2;1950;1.000;0.980;0.990
J48;Random[0.6];VODPlayer;96;0;2;1950;1.000;0.980;0.990
SVM_RBF[5.0];Random[0.6];CIMS PL;1;0;1;1022;1.000;0.500;0.667
SVM_Poly[3,2.0,0.5];Random[0.6];CIMS PL;1;3;1;1019;0.250;0.500;0.333
RandomForest;Random[0.6];CIMS PL;2;0;0;1022;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Random[0.6];CIMS PL;1;0;1;1022;1.000;0.500;0.667
RandomCommittee;Random[0.6];CIMS PL;0;0;2;1022;NaN;0.000;NaN
REPTree;Random[0.6];CIMS PL;0;0;2;1022;NaN;0.000;NaN
LogisticModelTree;Random[0.6];CIMS PL;0;0;2;1022;NaN;0.000;NaN
MultilayerPerceptron;Random[0.6];CIMS PL;0;0;2;1022;NaN;0.000;NaN
J48;Random[0.6];CIMS PL;0;0;2;1022;NaN;0.000;NaN
SVM_RBF[5.0];Random[0.6];AvionFEatures;27;0;25;4044;1.000;0.519;0.684
SVM_Poly[3,2.0,0.5];Random[0.6];AvionFEatures;51;3;1;4041;0.944;0.981;0.962
RandomForest;Random[0.6];AvionFEatures;48;0;4;4044;1.000;0.923;0.960
