CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.245;0.205;0.220;0.001;10;0.612;0.511;0.550;0.002;4
HoeffdingTree;0.001;0.044;0.001;0.001;10;0.001;0.063;0.002;0.001;7
SVM_Poly[3,2.0,0.5];0.433;0.395;0.409;0.001;10;0.541;0.493;0.511;0.001;8
REPTree;0.294;0.240;0.252;0.001;10;0.490;0.400;0.420;0.002;6
RandomForest;0.664;0.043;0.078;0.001;10;0.949;0.062;0.112;0.001;7
StochasticGradientDescend;0.000;0.000;0.000;0.001;10;0.000;0.000;0.000;0.000;0
RandomCommittee;0.483;0.149;0.220;0.001;10;0.604;0.187;0.275;0.001;8
NaiveBayesUpdateable;0.032;0.003;0.006;0.001;10;0.105;0.010;0.019;0.000;3
J48;0.310;0.238;0.268;0.001;10;0.776;0.596;0.669;0.002;4


VALIDITY RATIO;(F)
min;0.000000
avg;0.001032
max;0.004579

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.005];0.274;0.146;0.162;0.001;90;0.524;0.280;0.309;0.002;47

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
JCalc_LPS;0.221;0.067;0.075;0.000;18;0.362;0.110;0.123;0.000;11
Insurance Policy;0.506;0.298;0.323;0.000;18;0.607;0.357;0.387;0.000;15
Context Feature Model;0.552;0.357;0.399;0.005;18;0.710;0.459;0.513;0.005;14
GMF_Eclipse_Reuso_UFRJ;0.000;0.000;0.000;0.000;18;0.000;0.000;0.000;0.000;0
MobileMedia_Conejero;0.089;0.010;0.012;0.000;18;0.229;0.025;0.030;0.000;7
