CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.170;0.151;0.159;0.000;60;0.785;0.699;0.733;0.001;13
HoeffdingTree;0.000;0.071;0.001;0.000;60;0.001;0.153;0.001;0.001;28
SVM_Poly[3,2.0,0.5];0.379;0.318;0.338;0.000;60;0.495;0.415;0.440;0.001;46
REPTree;0.210;0.148;0.159;0.000;60;0.574;0.403;0.434;0.001;22
RandomForest;0.702;0.038;0.067;0.000;60;0.937;0.051;0.089;0.001;45
StochasticGradientDescend;0.000;0.000;0.000;0.000;60;0.000;0.000;0.000;0.000;0
RandomCommittee;0.429;0.131;0.184;0.000;60;0.572;0.175;0.246;0.001;45
NaiveBayesUpdateable;0.154;0.008;0.014;0.000;60;0.515;0.026;0.048;0.001;18
J48;0.120;0.107;0.112;0.000;60;0.803;0.713;0.750;0.002;9


VALIDITY RATIO;(F)
min;0.000000
avg;0.000491
max;0.004579

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.005];0.241;0.108;0.115;0.000;540;0.575;0.258;0.274;0.001;226

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Ejercicio;0.310;0.079;0.105;0.000;18;0.620;0.159;0.210;0.000;9
Linea de Experimentos;0.025;0.007;0.006;0.000;90;0.558;0.147;0.132;0.000;4
Scheduler;0.146;0.028;0.036;0.000;18;0.526;0.102;0.129;0.000;5
JCalc_LPS;0.221;0.067;0.075;0.000;18;0.362;0.110;0.123;0.000;11
Mobile Applications Contents;0.558;0.392;0.418;0.001;18;0.717;0.504;0.538;0.001;14
FIRE-ALARM;0.294;0.082;0.088;0.000;18;0.588;0.164;0.177;0.000;9
dfffffffffff;0.173;0.032;0.046;0.001;18;0.346;0.064;0.091;0.001;9
Car Software System;0.136;0.022;0.025;0.000;18;0.407;0.067;0.076;0.000;6
ISA11/12_pgr;0.158;0.051;0.020;0.000;18;0.316;0.101;0.040;0.000;9
FAME-DBMS;0.266;0.102;0.099;0.000;18;0.532;0.204;0.198;0.000;9
Insurance Policy;0.506;0.298;0.323;0.000;18;0.607;0.357;0.387;0.000;15
Jogo de Engenharia de Software;0.479;0.140;0.167;0.001;18;0.663;0.194;0.232;0.001;13
Small Graph Product Line;0.256;0.072;0.088;0.002;18;0.512;0.145;0.176;0.002;9
SoftwareClassification;0.205;0.039;0.053;0.000;18;0.616;0.117;0.159;0.000;6
Stacja Pogodowa;0.314;0.173;0.134;0.000;18;0.565;0.311;0.241;0.000;10
Diagrama de Experimento;0.172;0.018;0.024;0.000;18;0.620;0.065;0.086;0.000;5
MobileMedia_Conejero;0.089;0.010;0.012;0.000;18;0.229;0.025;0.030;0.000;7
Construtora;0.123;0.050;0.016;0.000;18;0.276;0.112;0.036;0.000;8
Fabrica de software;0.007;0.011;0.008;0.000;18;0.119;0.192;0.147;0.000;1
StoreFrontSystem;0.727;0.487;0.525;0.000;18;0.818;0.548;0.590;0.000;16
Requirements Proces Variability;0.062;0.026;0.006;0.000;18;0.373;0.154;0.039;0.000;3
Context Feature Model;0.552;0.357;0.399;0.005;18;0.710;0.459;0.513;0.005;14
VMS;0.508;0.193;0.252;0.001;18;0.831;0.316;0.413;0.001;11
GMF_Eclipse_Reuso_UFRJ;0.000;0.000;0.000;0.000;18;0.000;0.000;0.000;0.000;0
Mobile Phone;0.171;0.055;0.039;0.000;18;0.342;0.110;0.077;0.000;9
Software-Product;0.666;0.425;0.459;0.000;18;0.856;0.546;0.590;0.000;14
