CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.166;0.155;0.160;0.000;10;0.832;0.773;0.799;0.001;2
HoeffdingTree;0.000;0.113;0.000;0.000;10;0.000;0.189;0.000;0.000;6
SVM_Poly[3,2.0,0.5];0.286;0.227;0.233;0.000;10;0.358;0.283;0.291;0.000;8
REPTree;0.200;0.142;0.166;0.000;10;1.000;0.711;0.831;0.001;2
RandomForest;0.706;0.063;0.099;0.000;10;0.882;0.079;0.124;0.000;8
StochasticGradientDescend;0.000;0.000;0.000;0.000;10;0.000;0.000;0.000;0.000;0
RandomCommittee;0.440;0.191;0.252;0.000;10;0.489;0.212;0.280;0.000;9
NaiveBayesUpdateable;0.197;0.011;0.021;0.000;10;0.986;0.054;0.103;0.001;2
J48;0.183;0.160;0.169;0.000;10;0.917;0.800;0.846;0.001;2


VALIDITY RATIO;(F)
min;0.000050
avg;0.000379
max;0.001373

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.01];0.242;0.118;0.122;0.000;90;0.559;0.272;0.282;0.001;39

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Car Software System;0.158;0.018;0.025;0.000;18;0.474;0.053;0.075;0.000;6
Construtora;0.122;0.034;0.025;0.000;18;0.313;0.088;0.065;0.000;7
Requirements Proces Variability;0.132;0.050;0.012;0.000;18;0.395;0.151;0.036;0.000;6
Diagrama de Experimento;0.075;0.047;0.048;0.000;18;0.271;0.171;0.172;0.000;5
VMS;0.723;0.440;0.500;0.001;18;0.868;0.528;0.600;0.001;15
