CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_Poly[3,2.0,0.5];Random[0.01];SoftwareClassification;1340;1250;2372;8383646;0.517;0.361;0.425
SVM_Poly[3,2.0,0.5];Random[0.01];SoftwareClassification;1623;1353;2089;8383543;0.545;0.437;0.485
RandomForest;Random[0.01];SoftwareClassification;54;3;3658;8384893;0.947;0.015;0.029
RandomForest;Random[0.01];SoftwareClassification;134;11;3578;8384885;0.924;0.036;0.069
RandomCommittee;Random[0.01];SoftwareClassification;436;219;3276;8384677;0.666;0.117;0.200
RandomCommittee;Random[0.01];SoftwareClassification;607;338;3105;8384558;0.642;0.164;0.261
REPTree;Random[0.01];SoftwareClassification;0;0;3712;8384896;NaN;0.000;NaN
REPTree;Random[0.01];SoftwareClassification;0;0;3712;8384896;NaN;0.000;NaN
LogisticModelTree;Random[0.01];SoftwareClassification;0;0;3712;8384896;NaN;0.000;NaN
LogisticModelTree;Random[0.01];SoftwareClassification;0;0;3712;8384896;NaN;0.000;NaN
J48;Random[0.01];SoftwareClassification;0;0;3712;8384896;NaN;0.000;NaN
J48;Random[0.01];SoftwareClassification;0;0;3712;8384896;NaN;0.000;NaN
NaiveBayesUpdateable;Random[0.01];SoftwareClassification;0;0;3712;8384896;NaN;0.000;NaN
NaiveBayesUpdateable;Random[0.01];SoftwareClassification;0;0;3712;8384896;NaN;0.000;NaN
HoeffdingTree;Random[0.01];SoftwareClassification;1728;3930432;1984;4454464;0.000;0.466;0.001
HoeffdingTree;Random[0.01];SoftwareClassification;288;3669728;3424;4715168;0.000;0.078;0.000
StochasticGradientDescend;Random[0.01];SoftwareClassification;0;0;3712;8384896;NaN;0.000;NaN
StochasticGradientDescend;Random[0.01];SoftwareClassification;0;0;3712;8384896;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Random[0.01];ISA11/12_pgr;321;971;847;8386469;0.248;0.275;0.261
SVM_Poly[3,2.0,0.5];Random[0.01];ISA11/12_pgr;186;625;982;8386815;0.229;0.159;0.188
RandomForest;Random[0.01];ISA11/12_pgr;18;0;1150;8387440;1.000;0.015;0.030
RandomForest;Random[0.01];ISA11/12_pgr;8;0;1160;8387440;1.000;0.007;0.014
RandomCommittee;Random[0.01];ISA11/12_pgr;81;129;1087;8387311;0.386;0.069;0.118
RandomCommittee;Random[0.01];ISA11/12_pgr;91;155;1077;8387285;0.370;0.078;0.129
REPTree;Random[0.01];ISA11/12_pgr;64;448;1104;8386992;0.125;0.055;0.076
REPTree;Random[0.01];ISA11/12_pgr;0;0;1168;8387440;NaN;0.000;NaN
LogisticModelTree;Random[0.01];ISA11/12_pgr;0;0;1168;8387440;NaN;0.000;NaN
LogisticModelTree;Random[0.01];ISA11/12_pgr;0;0;1168;8387440;NaN;0.000;NaN
J48;Random[0.01];ISA11/12_pgr;0;0;1168;8387440;NaN;0.000;NaN
J48;Random[0.01];ISA11/12_pgr;0;0;1168;8387440;NaN;0.000;NaN
NaiveBayesUpdateable;Random[0.01];ISA11/12_pgr;0;1;1168;8387439;0.000;0.000;NaN
NaiveBayesUpdateable;Random[0.01];ISA11/12_pgr;0;1;1168;8387439;0.000;0.000;NaN
HoeffdingTree;Random[0.01];ISA11/12_pgr;16;4194288;1152;4193152;0.000;0.014;0.000
HoeffdingTree;Random[0.01];ISA11/12_pgr;208;4456240;960;3931200;0.000;0.178;0.000
StochasticGradientDescend;Random[0.01];ISA11/12_pgr;0;0;1168;8387440;NaN;0.000;NaN
StochasticGradientDescend;Random[0.01];ISA11/12_pgr;0;0;1168;8387440;NaN;0.000;NaN
