CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
MultilayerPerceptron[i,6];1.000;0.921;0.954;0.024;10;1.000;0.921;0.954;0.024;10
MultilayerPerceptron[a,4];1.000;0.960;0.979;0.024;10;1.000;0.960;0.979;0.024;10
MultilayerPerceptron[i];1.000;0.931;0.959;0.024;10;1.000;0.931;0.959;0.024;10
MultilayerPerceptron[i,o];1.000;0.921;0.954;0.024;10;1.000;0.921;0.954;0.024;10
MultilayerPerceptron[i,a];1.000;0.921;0.954;0.024;10;1.000;0.921;0.954;0.024;10
MultilayerPerceptron[a];1.000;0.931;0.959;0.024;10;1.000;0.931;0.959;0.024;10


VALIDITY RATIO;(F)
min;0.001038
avg;0.024353
max;0.076294

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];1.000;0.931;0.960;0.024;60;1.000;0.931;0.960;0.024;60

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
RE;1.000;0.990;0.995;0.012;6;1.000;0.990;0.995;0.012;6
WB2;1.000;0.929;0.962;0.049;6;1.000;0.929;0.962;0.049;6
G10-music player;1.000;0.984;0.992;0.008;6;1.000;0.984;0.992;0.008;6
CFDP Library;1.000;0.998;0.999;0.058;12;1.000;0.998;0.999;0.058;12
IntelligentTutoringSystem;1.000;0.988;0.994;0.021;6;1.000;0.988;0.994;0.021;6
IDE4OCL;1.000;0.985;0.992;0.004;6;1.000;0.985;0.992;0.004;6
Asghar;1.000;0.848;0.918;0.016;6;1.000;0.848;0.918;0.016;6
MyFeatureModel;1.000;0.648;0.778;0.018;6;1.000;0.648;0.778;0.018;6
Mobile Phone, until relase 5;1.000;0.941;0.970;0.001;6;1.000;0.941;0.970;0.001;6
