CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
MultilayerPerceptron[i,6];0.800;0.729;0.758;0.031;10;1.000;0.911;0.947;0.038;8
MultilayerPerceptron[a,4];0.800;0.729;0.758;0.031;10;1.000;0.911;0.947;0.038;8
MultilayerPerceptron[i];0.900;0.796;0.838;0.031;10;1.000;0.884;0.931;0.035;9
MultilayerPerceptron[i,o];0.800;0.729;0.758;0.031;10;1.000;0.911;0.947;0.038;8
MultilayerPerceptron[i,a];0.800;0.729;0.758;0.031;10;1.000;0.911;0.947;0.038;8
MultilayerPerceptron[a];0.900;0.796;0.838;0.031;10;1.000;0.884;0.931;0.035;9


VALIDITY RATIO;(F)
min;0.001953
avg;0.031250
max;0.157227

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.833;0.751;0.784;0.031;60;1.000;0.901;0.941;0.037;50

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
AA;1.000;0.941;0.970;0.017;6;1.000;0.941;0.970;0.017;6
Prontuário Eletrônico de Pacientes;1.000;0.909;0.952;0.011;6;1.000;0.909;0.952;0.011;6
rtrt;1.000;1.000;1.000;0.020;6;1.000;1.000;1.000;0.020;6
Computer Selection;0.333;0.222;0.267;0.003;6;1.000;0.667;0.800;0.003;2
FeatureModel1;1.000;0.941;0.970;0.017;6;1.000;0.941;0.970;0.017;6
Phone;1.000;0.979;0.989;0.046;6;1.000;0.979;0.989;0.046;6
CIMS PL;0.000;0.000;0.000;0.002;6;0.000;0.000;0.000;0.000;0
Simnumero;1.000;0.556;0.714;0.009;6;1.000;0.556;0.714;0.009;6
test gv;1.000;0.970;0.985;0.032;6;1.000;0.970;0.985;0.032;6
WebApp;1.000;0.994;0.997;0.157;6;1.000;0.994;0.997;0.157;6
