CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.938;0.834;0.863;0.015;4;0.938;0.834;0.863;0.015;4
SVM_RBF[5.0];1.000;1.000;1.000;0.015;4;1.000;1.000;1.000;0.015;4
HoeffdingTree;0.093;0.194;0.121;0.015;4;0.185;0.388;0.242;0.019;2
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.015;4;1.000;1.000;1.000;0.015;4
REPTree;0.750;0.588;0.647;0.015;4;1.000;0.785;0.863;0.020;3
RandomForest;1.000;1.000;1.000;0.015;4;1.000;1.000;1.000;0.015;4
StochasticGradientDescend;0.000;0.000;0.000;0.015;4;0.000;0.000;0.000;0.000;0
RandomCommittee;1.000;0.951;0.973;0.015;4;1.000;0.951;0.973;0.015;4
NaiveBayesUpdateable;0.250;0.027;0.049;0.015;4;1.000;0.110;0.198;0.036;1
SVM_Puk[1.0, 0.1];1.000;1.000;1.000;0.015;4;1.000;1.000;1.000;0.015;4
MultilayerPerceptron[a];1.000;0.894;0.942;0.015;4;1.000;0.894;0.942;0.015;4
J48;0.500;0.393;0.433;0.015;4;1.000;0.786;0.866;0.028;2


VALIDITY RATIO;(F)
min;0.002930
avg;0.015381
max;0.035645

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.711;0.657;0.669;0.015;48;0.948;0.876;0.892;0.017;36

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Sylvain Example;0.583;0.556;0.568;0.003;12;1.000;0.952;0.973;0.003;7
Xor Example;0.750;0.650;0.690;0.020;12;1.000;0.867;0.920;0.020;9
Xor Example 2;0.864;0.796;0.795;0.036;12;0.943;0.869;0.867;0.036;11
Final model;0.646;0.625;0.624;0.003;12;0.861;0.833;0.831;0.003;9
