CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.856;0.606;0.673;0.019;8;0.856;0.606;0.673;0.019;8
SVM_RBF[5.0];1.000;1.000;1.000;0.019;8;1.000;1.000;1.000;0.019;8
HoeffdingTree;0.211;0.135;0.145;0.019;8;0.282;0.180;0.194;0.021;6
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.019;8;1.000;1.000;1.000;0.019;8
REPTree;0.930;0.821;0.846;0.019;8;0.930;0.821;0.846;0.019;8
RandomForest;1.000;1.000;1.000;0.019;8;1.000;1.000;1.000;0.019;8
StochasticGradientDescend;0.108;0.148;0.123;0.019;8;0.216;0.295;0.246;0.033;4
RandomCommittee;0.922;0.813;0.823;0.019;8;0.922;0.813;0.823;0.019;8
NaiveBayesUpdateable;0.181;0.038;0.062;0.019;8;0.725;0.151;0.250;0.044;2
SVM_Puk[1.0, 0.1];1.000;1.000;1.000;0.019;8;1.000;1.000;1.000;0.019;8
MultilayerPerceptron[a];1.000;0.815;0.883;0.019;8;1.000;0.815;0.883;0.019;8
J48;0.463;0.399;0.426;0.019;8;0.926;0.798;0.852;0.029;4


VALIDITY RATIO;(F)
min;0.001953
avg;0.018555
max;0.049072

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.723;0.648;0.665;0.019;96;0.867;0.777;0.798;0.021;80

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
27-5-207 test;0.583;0.616;0.589;0.021;12;0.777;0.822;0.785;0.021;9
WB2;0.864;0.814;0.824;0.049;12;0.864;0.814;0.824;0.049;12
Implementacion;0.667;0.500;0.554;0.004;12;0.889;0.667;0.739;0.004;9
CFDP Library;0.945;0.843;0.862;0.039;12;0.945;0.843;0.862;0.039;12
Pruebas;0.667;0.500;0.556;0.002;12;1.000;0.750;0.833;0.002;8
JCS;0.688;0.650;0.664;0.024;12;0.751;0.709;0.725;0.024;11
Cell-Phone-SPL-2014-Mined;0.625;0.539;0.542;0.004;12;0.834;0.719;0.722;0.004;9
FM with optional XOR;0.742;0.720;0.730;0.005;12;0.890;0.864;0.876;0.005;10
