CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.923;1.000;0.958;0.024;2;0.923;1.000;0.958;0.024;2
SVM_RBF[5.0];1.000;1.000;1.000;0.024;2;1.000;1.000;1.000;0.024;2
HoeffdingTree;0.500;0.180;0.213;0.024;2;0.500;0.180;0.213;0.024;2
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.024;2;1.000;1.000;1.000;0.024;2
REPTree;0.850;0.813;0.831;0.024;2;0.850;0.813;0.831;0.024;2
RandomForest;1.000;1.000;1.000;0.024;2;1.000;1.000;1.000;0.024;2
StochasticGradientDescend;0.000;0.000;0.000;0.024;2;0.000;0.000;0.000;0.000;0
RandomCommittee;1.000;1.000;1.000;0.024;2;1.000;1.000;1.000;0.024;2
NaiveBayesUpdateable;0.500;0.135;0.212;0.024;2;1.000;0.270;0.425;0.043;1
SVM_Puk[1.0, 0.1];1.000;1.000;1.000;0.024;2;1.000;1.000;1.000;0.024;2
MultilayerPerceptron[a];1.000;0.910;0.953;0.024;2;1.000;0.910;0.953;0.024;2
J48;0.500;0.494;0.497;0.024;2;1.000;0.989;0.994;0.043;1


VALIDITY RATIO;(F)
min;0.005371
avg;0.024414
max;0.043457

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.773;0.711;0.722;0.024;24;0.927;0.853;0.866;0.026;20

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Sylvain Example;0.629;0.636;0.628;0.005;12;0.839;0.848;0.838;0.005;9
XOR NEW;0.917;0.786;0.816;0.043;12;1.000;0.857;0.890;0.043;11
