CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.933;0.889;0.895;0.018;6;0.933;0.889;0.895;0.018;6
SVM_RBF[5.0];1.000;1.000;1.000;0.018;6;1.000;1.000;1.000;0.018;6
HoeffdingTree;0.229;0.189;0.152;0.018;6;0.343;0.284;0.228;0.022;4
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.018;6;1.000;1.000;1.000;0.018;6
REPTree;0.783;0.663;0.708;0.018;6;0.940;0.796;0.850;0.021;5
RandomForest;1.000;1.000;1.000;0.018;6;1.000;1.000;1.000;0.018;6
StochasticGradientDescend;0.000;0.000;0.000;0.018;6;0.000;0.000;0.000;0.000;0
RandomCommittee;1.000;0.967;0.982;0.018;6;1.000;0.967;0.982;0.018;6
NaiveBayesUpdateable;0.333;0.063;0.104;0.018;6;1.000;0.190;0.311;0.040;2
SVM_Puk[1.0, 0.1];1.000;1.000;1.000;0.018;6;1.000;1.000;1.000;0.018;6
MultilayerPerceptron[a];1.000;0.899;0.946;0.018;6;1.000;0.899;0.946;0.018;6
J48;0.500;0.427;0.454;0.018;6;1.000;0.853;0.909;0.033;3


VALIDITY RATIO;(F)
min;0.002930
avg;0.018392
max;0.043457

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.732;0.675;0.687;0.018;72;0.941;0.868;0.883;0.020;56

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Sylvain Example;0.606;0.596;0.598;0.004;24;0.909;0.894;0.897;0.004;16
Xor Example;0.750;0.650;0.690;0.020;12;1.000;0.867;0.920;0.020;9
Xor Example 2;0.864;0.796;0.795;0.036;12;0.943;0.869;0.867;0.036;11
Final model;0.646;0.625;0.624;0.003;12;0.861;0.833;0.831;0.003;9
XOR NEW;0.917;0.786;0.816;0.043;12;1.000;0.857;0.890;0.043;11
