Constraints;Count;SVM_RBF[5.0]_min;SVM_RBF[5.0]_Q1;SVM_RBF[5.0]_Q2;SVM_RBF[5.0]_Q3;SVM_RBF[5.0]_max;LogisticModelTree_min;LogisticModelTree_Q1;LogisticModelTree_Q2;LogisticModelTree_Q3;LogisticModelTree_max;HoeffdingTree_min;HoeffdingTree_Q1;HoeffdingTree_Q2;HoeffdingTree_Q3;HoeffdingTree_max;SVM_Poly[3,2.0,0.5]_min;SVM_Poly[3,2.0,0.5]_Q1;SVM_Poly[3,2.0,0.5]_Q2;SVM_Poly[3,2.0,0.5]_Q3;SVM_Poly[3,2.0,0.5]_max;RandomForest_min;RandomForest_Q1;RandomForest_Q2;RandomForest_Q3;RandomForest_max;REPTree_min;REPTree_Q1;REPTree_Q2;REPTree_Q3;REPTree_max;RandomCommittee_min;RandomCommittee_Q1;RandomCommittee_Q2;RandomCommittee_Q3;RandomCommittee_max;StochasticGradientDescend_min;StochasticGradientDescend_Q1;StochasticGradientDescend_Q2;StochasticGradientDescend_Q3;StochasticGradientDescend_max;SVM_Puk[1.0, 0.1]_min;SVM_Puk[1.0, 0.1]_Q1;SVM_Puk[1.0, 0.1]_Q2;SVM_Puk[1.0, 0.1]_Q3;SVM_Puk[1.0, 0.1]_max;NaiveBayesUpdateable_min;NaiveBayesUpdateable_Q1;NaiveBayesUpdateable_Q2;NaiveBayesUpdateable_Q3;NaiveBayesUpdateable_max;MultilayerPerceptron[a]_min;MultilayerPerceptron[a]_Q1;MultilayerPerceptron[a]_Q2;MultilayerPerceptron[a]_Q3;MultilayerPerceptron[a]_max;J48_min;J48_Q1;J48_Q2;J48_Q3;J48_max
2;39;1.000;1.000;1.000;1.000;1.000;0.125;0.517;0.711;1.000;NaN;0.004;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.286;0.696;0.857;0.983;NaN;0.333;0.786;0.966;1.000;NaN;0.125;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.182;NaN;NaN;NaN;NaN;0.643;0.957;0.966;0.991;1.000;0.364;0.696;0.875;NaN;NaN
3;10;1.000;1.000;1.000;1.000;1.000;0.633;0.985;1.000;1.000;NaN;0.004;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.400;0.929;0.971;1.000;NaN;0.400;0.933;1.000;1.000;NaN;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.051;0.407;NaN;NaN;NaN;0.750;0.852;0.971;0.989;1.000;0.596;0.982;0.987;NaN;NaN
4;2;1.000;1.000;1.000;1.000;1.000;0.353;0.353;0.627;0.900;0.900;0.587;0.587;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.907;0.907;0.936;0.965;0.965;0.667;0.667;0.833;1.000;1.000;0.141;0.141;0.275;0.408;0.408;1.000;1.000;1.000;1.000;1.000;0.149;0.149;NaN;NaN;NaN;0.998;0.998;0.999;1.000;1.000;0.886;0.886;NaN;NaN;NaN
5;1;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.563;0.563;0.563;0.563;0.563;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.997;0.997;0.997;0.997;0.997;1.000;1.000;1.000;1.000;1.000;0.435;0.435;0.435;0.435;0.435;1.000;1.000;1.000;1.000;1.000;0.351;0.351;0.351;0.351;0.351;0.998;0.998;0.998;0.998;0.998;0.997;0.997;0.997;0.997;0.997
7;3;1.000;1.000;1.000;1.000;1.000;0.667;0.667;0.667;1.000;1.000;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.545;0.545;0.667;0.930;0.930;0.667;0.667;0.769;1.000;1.000;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;NaN;NaN;NaN;NaN;NaN;0.667;0.667;0.667;0.900;0.900;0.930;0.930;NaN;NaN;NaN
8;1;1.000;1.000;1.000;1.000;1.000;0.738;0.738;0.738;0.738;0.738;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.921;0.921;0.921;0.921;0.921;0.892;0.892;0.892;0.892;0.892;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;NaN;NaN;NaN;NaN;NaN;0.988;0.988;0.988;0.988;0.988;0.738;0.738;0.738;0.738;0.738
9;1;1.000;1.000;1.000;1.000;1.000;0.167;0.167;0.167;0.167;0.167;0.011;0.011;0.011;0.011;0.011;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.794;0.794;0.794;0.794;0.794;0.545;0.545;0.545;0.545;0.545;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;NaN;NaN;NaN;NaN;NaN;0.984;0.984;0.984;0.984;0.984;NaN;NaN;NaN;NaN;NaN
10;2;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.425;0.425;0.453;0.482;0.482;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.994;0.994;0.997;1.000;1.000;1.000;1.000;1.000;1.000;1.000;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.198;0.198;0.311;0.425;0.425;0.868;0.868;0.911;0.953;0.953;0.993;0.993;0.994;0.994;0.994
11;1;1.000;1.000;1.000;1.000;1.000;0.917;0.917;0.917;0.917;0.917;0.002;0.002;0.002;0.002;0.002;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.667;0.667;0.667;0.667;0.667;1.000;1.000;1.000;1.000;1.000;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;NaN;NaN;NaN;NaN;NaN;0.952;0.952;0.952;0.952;0.952;NaN;NaN;NaN;NaN;NaN
12;2;1.000;1.000;1.000;1.000;1.000;0.857;0.857;0.857;0.857;0.857;0.002;0.002;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.667;0.667;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;NaN;NaN;NaN;NaN;NaN;0.957;0.957;0.957;0.957;0.957;NaN;NaN;NaN;NaN;NaN
