CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
MultilayerPerceptron;0.952;0.845;0.890;0.033;42;1.000;0.887;0.934;0.034;40
LogisticModelTree;0.763;0.690;0.705;0.033;42;0.972;0.879;0.897;0.039;33
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.033;42;1.000;1.000;1.000;0.033;42
REPTree;0.682;0.609;0.633;0.033;42;0.955;0.853;0.887;0.044;30
RandomForest;1.000;1.000;1.000;0.033;42;1.000;1.000;1.000;0.033;42
RandomCommittee;0.939;0.912;0.902;0.033;42;0.962;0.934;0.924;0.033;41
J48;0.501;0.493;0.494;0.033;42;0.956;0.941;0.943;0.053;22


VALIDITY RATIO;(F)
min;0.001465
avg;0.032575
max;0.250488

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.834;0.793;0.803;0.033;294;0.981;0.932;0.945;0.037;250

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
votacao eletronica;0.946;1.000;0.971;0.007;7;0.946;1.000;0.971;0.007;7
ROOT;1.000;0.994;0.997;0.047;7;1.000;0.994;0.997;0.047;7
Website;1.000;0.991;0.996;0.032;7;1.000;0.991;0.996;0.032;7
VOD feature model;1.000;0.983;0.991;0.016;7;1.000;0.983;0.991;0.016;7
Mauricio Alférez;0.857;0.805;0.828;0.005;7;1.000;0.939;0.966;0.005;6
test gv;1.000;0.983;0.991;0.032;7;1.000;0.983;0.991;0.032;7
anlisis II;1.000;0.985;0.992;0.028;7;1.000;0.985;0.992;0.028;7
SmartHome- Simplified Sample;0.714;0.701;0.707;0.005;7;1.000;0.982;0.990;0.005;5
Autosoft;0.821;0.831;0.818;0.087;14;0.958;0.969;0.955;0.093;12
SmartHome_vConejero_r1;0.571;0.524;0.543;0.001;7;1.000;0.917;0.950;0.001;4
MobileMedia;0.922;0.937;0.927;0.029;14;0.922;0.937;0.927;0.029;14
LXEP;0.429;0.333;0.357;0.003;7;1.000;0.778;0.833;0.003;3
Phone;0.984;0.991;0.987;0.046;7;0.984;0.991;0.987;0.046;7
Rotary_Element;0.857;0.626;0.695;0.013;7;1.000;0.731;0.811;0.013;6
ordem;0.958;0.857;0.902;0.028;7;0.958;0.857;0.902;0.028;7
Match de foot;1.000;0.975;0.987;0.008;7;1.000;0.975;0.987;0.008;7
Eval_board;0.571;0.429;0.471;0.003;7;1.000;0.750;0.825;0.003;4
XOR NEW;1.000;0.984;0.992;0.043;7;1.000;0.984;0.992;0.043;7
AA;0.813;0.798;0.805;0.017;7;0.949;0.931;0.940;0.017;6
E-SHOP;0.657;0.714;0.683;0.008;7;0.920;1.000;0.956;0.008;5
Prontuário Eletrônico de Pacientes;1.000;0.935;0.964;0.011;7;1.000;0.935;0.964;0.011;7
mo;1.000;0.993;0.996;0.030;7;1.000;0.993;0.996;0.030;7
Disenio;0.714;0.543;0.607;0.005;7;1.000;0.760;0.850;0.005;5
CIMS PL;0.286;0.286;0.286;0.002;7;1.000;1.000;1.000;0.002;2
VODPlayer;0.908;0.895;0.868;0.048;7;0.908;0.895;0.868;0.048;7
isolation;0.714;0.679;0.694;0.004;7;1.000;0.950;0.971;0.004;5
Mobile Media v3;0.571;0.524;0.543;0.001;7;1.000;0.917;0.950;0.001;4
Jogo;0.857;0.800;0.825;0.002;7;1.000;0.933;0.963;0.002;6
desordem;0.958;0.857;0.902;0.028;7;0.958;0.857;0.902;0.028;7
Modelo de Característica para Entidades Urbanas;1.000;0.999;0.999;0.250;7;1.000;0.999;0.999;0.250;7
rtrt;1.000;1.000;1.000;0.020;7;1.000;1.000;1.000;0.020;7
Nudelsalat;0.819;0.736;0.732;0.013;7;0.956;0.859;0.854;0.013;6
MK Andes;0.857;0.771;0.810;0.005;7;1.000;0.900;0.944;0.005;6
Cell-Phone-SPL-2014-without;0.829;0.525;0.541;0.048;7;0.967;0.612;0.631;0.048;6
Computer Selection;0.571;0.524;0.543;0.003;7;1.000;0.917;0.950;0.003;4
FeatureModel1;1.000;0.966;0.983;0.017;7;1.000;0.966;0.983;0.017;7
Simnumero;0.571;0.508;0.531;0.009;7;1.000;0.889;0.929;0.009;4
abcdefg;0.540;0.551;0.543;0.007;7;0.944;0.964;0.950;0.007;4
Mobile Game;0.989;0.997;0.993;0.133;7;0.989;0.997;0.993;0.133;7
WebApp;1.000;0.996;0.998;0.157;7;1.000;0.996;0.998;0.157;7
