Constraints;Count;J48_min;J48_Q1;J48_Q2;J48_Q3;J48_max;RandomForest_min;RandomForest_Q1;RandomForest_Q2;RandomForest_Q3;RandomForest_max;SVM_Poly[3,2.0,0.5]_min;SVM_Poly[3,2.0,0.5]_Q1;SVM_Poly[3,2.0,0.5]_Q2;SVM_Poly[3,2.0,0.5]_Q3;SVM_Poly[3,2.0,0.5]_max;MultilayerPerceptron_min;MultilayerPerceptron_Q1;MultilayerPerceptron_Q2;MultilayerPerceptron_Q3;MultilayerPerceptron_max;LogisticModelTree_min;LogisticModelTree_Q1;LogisticModelTree_Q2;LogisticModelTree_Q3;LogisticModelTree_max;RandomCommittee_min;RandomCommittee_Q1;RandomCommittee_Q2;RandomCommittee_Q3;RandomCommittee_max;REPTree_min;REPTree_Q1;REPTree_Q2;REPTree_Q3;REPTree_max
0;170;0.242;0.986;NaN;NaN;NaN;0.667;1.000;1.000;1.000;NaN;0.800;1.000;1.000;1.000;1.000;0.640;0.941;0.983;0.996;NaN;0.007;0.658;1.000;NaN;NaN;0.007;0.462;1.000;1.000;NaN;0.061;0.828;0.965;1.000;NaN
1;66;0.320;0.933;0.999;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.985;1.000;1.000;1.000;1.000;0.786;0.973;0.994;1.000;NaN;0.040;0.750;1.000;NaN;NaN;0.040;0.800;1.000;1.000;NaN;0.429;0.889;0.977;1.000;NaN
2;87;0.099;0.696;0.980;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.643;0.947;0.980;0.995;1.000;0.017;0.421;0.750;1.000;NaN;0.040;0.694;1.000;1.000;NaN;0.222;0.753;0.889;0.980;NaN
3;18;0.480;0.828;0.987;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.667;0.933;0.973;0.992;1.000;0.020;0.750;0.992;1.000;NaN;0.020;0.800;1.000;1.000;NaN;0.400;0.741;0.944;0.985;NaN
4;6;0.480;0.828;0.943;1.000;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.970;0.970;0.998;1.000;1.000;0.353;0.500;0.864;1.000;1.000;0.667;1.000;1.000;1.000;1.000;0.882;0.907;0.948;0.971;0.999
5;2;0.997;0.997;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.800;0.800;0.899;0.998;0.998;0.500;0.500;0.750;1.000;1.000;0.500;0.500;0.750;1.000;1.000;0.875;0.875;0.936;0.997;0.997
7;3;0.930;0.930;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.667;0.667;0.667;0.900;0.900;0.667;0.667;0.667;1.000;1.000;0.667;0.667;0.769;1.000;1.000;0.545;0.545;0.667;0.930;0.930
8;1;0.738;0.738;0.738;0.738;0.738;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.988;0.988;0.988;0.988;0.988;0.738;0.738;0.738;0.738;0.738;0.892;0.892;0.892;0.892;0.892;0.921;0.921;0.921;0.921;0.921
9;2;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.984;0.984;0.992;1.000;1.000;0.167;0.167;0.194;0.222;0.222;0.545;0.545;0.648;0.750;0.750;0.500;0.500;0.647;0.794;0.794
10;2;0.993;0.993;0.994;0.994;0.994;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.868;0.868;0.911;0.953;0.953;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.994;0.994;0.997;1.000;1.000
11;1;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.952;0.952;0.952;0.952;0.952;0.917;0.917;0.917;0.917;0.917;1.000;1.000;1.000;1.000;1.000;0.667;0.667;0.667;0.667;0.667
12;2;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.957;0.957;0.957;0.957;0.957;0.857;0.857;0.857;0.857;0.857;1.000;1.000;1.000;1.000;1.000;0.667;0.667;NaN;NaN;NaN
16;1;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.923;0.923;0.923;0.923;0.923;0.833;0.833;0.833;0.833;0.833;0.833;0.833;0.833;0.833;0.833;0.727;0.727;0.727;0.727;0.727

