CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
LWL;1.000;0.749;0.802;0.036
IBk;1.000;1.000;1.000;0.030
HoeffdingTree;0.938;0.551;0.694;0.133
KStar;1.000;0.749;0.802;0.036
StochasticGradientDescend;0.930;0.195;0.322;0.133
NaiveBayesUpdateable;0.984;0.181;0.251;0.054


VALIDITY RATIO
min;0.001465
avg;0.042572
max;0.132813

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO
Combinatorial[0];0.994;0.733;0.777;0.043

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO
SmartHome_vConejero_r1;1.000;1.000;1.000;0.001
MobileMedia;1.000;0.767;0.802;0.028
ordem;1.000;0.684;0.721;0.028
VODPlayer;1.000;0.986;0.993;0.048
isolation;1.000;1.000;1.000;0.004
VOD feature model;1.000;0.980;0.990;0.016
Mauricio Alférez;1.000;0.455;0.538;0.005
desordem;1.000;0.684;0.721;0.028
Mobile Game;0.967;0.714;0.784;0.133
SmartHome- Simplified Sample;1.000;0.455;0.538;0.005
