CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
NaiveBayesUpdateable;Combinatorial[0];SAL;0;0;52;4044;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];SAL;4;2044;48;2000;0.002;0.077;0.004
IBk;Combinatorial[0];SAL;52;0;0;4044;1.000;1.000;1.000
KStar;Combinatorial[0];SAL;0;0;52;4044;NaN;0.000;NaN
StochasticGradientDescend;Combinatorial[0];SAL;0;0;52;4044;NaN;0.000;NaN
LWL;Combinatorial[0];SAL;0;0;52;4044;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];E-portal;0;0;34;4062;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];E-portal;2;2046;32;2016;0.001;0.059;0.002
IBk;Combinatorial[0];E-portal;34;0;0;4062;1.000;1.000;1.000
KStar;Combinatorial[0];E-portal;8;0;26;4062;1.000;0.235;0.381
StochasticGradientDescend;Combinatorial[0];E-portal;0;0;34;4062;NaN;0.000;NaN
LWL;Combinatorial[0];E-portal;8;0;26;4062;1.000;0.235;0.381
NaiveBayesUpdateable;Combinatorial[0];test_fm;0;0;9;4087;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];test_fm;0;0;9;4087;NaN;0.000;NaN
IBk;Combinatorial[0];test_fm;9;0;0;4087;1.000;1.000;1.000
KStar;Combinatorial[0];test_fm;0;0;9;4087;NaN;0.000;NaN
StochasticGradientDescend;Combinatorial[0];test_fm;0;0;9;4087;NaN;0.000;NaN
LWL;Combinatorial[0];test_fm;0;0;9;4087;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];AvionFEatures;0;0;52;4044;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];AvionFEatures;32;200;20;3844;0.138;0.615;0.225
IBk;Combinatorial[0];AvionFEatures;52;0;0;4044;1.000;1.000;1.000
KStar;Combinatorial[0];AvionFEatures;20;0;32;4044;1.000;0.385;0.556
StochasticGradientDescend;Combinatorial[0];AvionFEatures;0;0;52;4044;NaN;0.000;NaN
LWL;Combinatorial[0];AvionFEatures;20;0;32;4044;1.000;0.385;0.556
NaiveBayesUpdateable;Combinatorial[0];Ökonomische Merkmale;12;4;88;3992;0.750;0.120;0.207
HoeffdingTree;Combinatorial[0];Ökonomische Merkmale;0;0;100;3996;NaN;0.000;NaN
IBk;Combinatorial[0];Ökonomische Merkmale;100;0;0;3996;1.000;1.000;1.000
KStar;Combinatorial[0];Ökonomische Merkmale;84;0;16;3996;1.000;0.840;0.913
StochasticGradientDescend;Combinatorial[0];Ökonomische Merkmale;0;0;100;3996;NaN;0.000;NaN
LWL;Combinatorial[0];Ökonomische Merkmale;84;0;16;3996;1.000;0.840;0.913
NaiveBayesUpdateable;Combinatorial[0];Doorlopende reisverzekering;7;0;58;4031;1.000;0.108;0.194
HoeffdingTree;Combinatorial[0];Doorlopende reisverzekering;0;0;65;4031;NaN;0.000;NaN
IBk;Combinatorial[0];Doorlopende reisverzekering;65;0;0;4031;1.000;1.000;1.000
KStar;Combinatorial[0];Doorlopende reisverzekering;64;0;1;4031;1.000;0.985;0.992
StochasticGradientDescend;Combinatorial[0];Doorlopende reisverzekering;0;0;65;4031;NaN;0.000;NaN
LWL;Combinatorial[0];Doorlopende reisverzekering;64;0;1;4031;1.000;0.985;0.992
NaiveBayesUpdateable;Combinatorial[0];carpl;0;0;12;4084;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];carpl;0;0;12;4084;NaN;0.000;NaN
IBk;Combinatorial[0];carpl;12;0;0;4084;1.000;1.000;1.000
KStar;Combinatorial[0];carpl;0;0;12;4084;NaN;0.000;NaN
StochasticGradientDescend;Combinatorial[0];carpl;0;0;12;4084;NaN;0.000;NaN
LWL;Combinatorial[0];carpl;0;0;12;4084;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];MyFM;0;0;80;4016;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];MyFM;0;0;80;4016;NaN;0.000;NaN
IBk;Combinatorial[0];MyFM;80;0;0;4016;1.000;1.000;1.000
KStar;Combinatorial[0];MyFM;0;0;80;4016;NaN;0.000;NaN
StochasticGradientDescend;Combinatorial[0];MyFM;0;0;80;4016;NaN;0.000;NaN
LWL;Combinatorial[0];MyFM;0;0;80;4016;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];ETRobocon;240;0;2;3854;1.000;0.992;0.996
HoeffdingTree;Combinatorial[0];ETRobocon;232;2058;10;1796;0.101;0.959;0.183
IBk;Combinatorial[0];ETRobocon;242;0;0;3854;1.000;1.000;1.000
KStar;Combinatorial[0];ETRobocon;240;0;2;3854;1.000;0.992;0.996
StochasticGradientDescend;Combinatorial[0];ETRobocon;240;2380;2;1474;0.092;0.992;0.168
LWL;Combinatorial[0];ETRobocon;240;0;2;3854;1.000;0.992;0.996
NaiveBayesUpdateable;Combinatorial[0];Example Mobile Phone;0;0;60;4036;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];Example Mobile Phone;0;0;60;4036;NaN;0.000;NaN
IBk;Combinatorial[0];Example Mobile Phone;60;0;0;4036;1.000;1.000;1.000
KStar;Combinatorial[0];Example Mobile Phone;8;0;52;4036;1.000;0.133;0.235
StochasticGradientDescend;Combinatorial[0];Example Mobile Phone;0;0;60;4036;NaN;0.000;NaN
LWL;Combinatorial[0];Example Mobile Phone;8;0;52;4036;1.000;0.133;0.235
