CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LWL;0.800;0.622;0.686;0.024;10;1.000;0.777;0.857;0.030;8
IBk;1.000;1.000;1.000;0.024;10;1.000;1.000;1.000;0.024;10
HoeffdingTree;0.455;0.320;0.312;0.024;10;0.569;0.400;0.390;0.030;8
KStar;0.800;0.622;0.686;0.024;10;1.000;0.777;0.857;0.030;8
StochasticGradientDescend;0.129;0.514;0.168;0.024;10;0.161;0.642;0.209;0.028;8
NaiveBayesUpdateable;0.441;0.113;0.178;0.024;10;0.882;0.225;0.355;0.039;5


VALIDITY RATIO;(F)
min;0.001038
avg;0.024353
max;0.076294

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.604;0.532;0.505;0.024;60;0.771;0.679;0.644;0.029;47

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
RE;0.826;0.706;0.734;0.012;6;0.826;0.706;0.734;0.012;6
WB2;0.749;0.616;0.651;0.049;6;0.749;0.616;0.651;0.049;6
G10-music player;0.504;0.669;0.488;0.008;6;0.604;0.803;0.586;0.008;5
CFDP Library;0.889;0.700;0.730;0.058;12;0.889;0.700;0.730;0.058;12
IntelligentTutoringSystem;0.684;0.747;0.557;0.021;6;0.684;0.747;0.557;0.021;6
IDE4OCL;0.168;0.331;0.169;0.004;6;0.503;0.992;0.507;0.004;2
Asghar;0.500;0.318;0.375;0.016;6;0.600;0.382;0.450;0.016;5
MyFeatureModel;0.667;0.361;0.446;0.018;6;1.000;0.542;0.669;0.018;4
Mobile Phone, until relase 5;0.167;0.167;0.167;0.001;6;1.000;1.000;1.000;0.001;1
