CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LWL;0.750;0.615;0.651;0.030;20;1.000;0.820;0.869;0.039;15
IBk;1.000;1.000;1.000;0.030;20;1.000;1.000;1.000;0.030;20
HoeffdingTree;0.147;0.077;0.096;0.030;20;0.979;0.516;0.638;0.103;3
KStar;0.750;0.615;0.651;0.030;20;1.000;0.820;0.869;0.039;15
StochasticGradientDescend;0.095;0.023;0.037;0.030;20;0.954;0.231;0.371;0.145;2
NaiveBayesUpdateable;0.397;0.108;0.147;0.030;20;0.882;0.240;0.327;0.058;9


VALIDITY RATIO;(F)
min;0.001465
avg;0.030469
max;0.157227

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.523;0.406;0.430;0.030;120;0.981;0.762;0.807;0.045;64

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
AA;0.500;0.402;0.443;0.017;6;1.000;0.804;0.885;0.017;3
Prontuário Eletrônico de Pacientes;0.500;0.409;0.447;0.011;6;1.000;0.818;0.895;0.011;3
CIMS PL;0.167;0.167;0.167;0.002;6;1.000;1.000;1.000;0.002;1
VODPlayer;0.500;0.493;0.497;0.048;6;0.750;0.740;0.745;0.048;4
isolation;0.167;0.167;0.167;0.004;6;1.000;1.000;1.000;0.004;1
VOD feature model;0.500;0.490;0.495;0.016;6;1.000;0.980;0.990;0.016;3
Mauricio Alférez;0.500;0.227;0.269;0.005;6;1.000;0.455;0.538;0.005;3
test gv;0.667;0.520;0.546;0.032;6;1.000;0.780;0.819;0.032;4
desordem;0.667;0.456;0.481;0.028;6;1.000;0.684;0.721;0.028;4
SmartHome- Simplified Sample;0.500;0.227;0.269;0.005;6;1.000;0.455;0.538;0.005;3
SmartHome_vConejero_r1;0.167;0.167;0.167;0.001;6;1.000;1.000;1.000;0.001;1
rtrt;0.833;0.567;0.611;0.020;6;1.000;0.680;0.733;0.020;5
MobileMedia;0.667;0.511;0.535;0.028;6;1.000;0.767;0.802;0.028;4
Computer Selection;0.167;0.167;0.167;0.003;6;1.000;1.000;1.000;0.003;1
FeatureModel1;0.500;0.480;0.490;0.017;6;1.000;0.961;0.980;0.017;3
Phone;0.667;0.535;0.564;0.046;6;1.000;0.803;0.846;0.046;4
ordem;0.667;0.456;0.481;0.028;6;1.000;0.684;0.721;0.028;4
Simnumero;0.167;0.167;0.167;0.009;6;1.000;1.000;1.000;0.009;1
Mobile Game;0.967;0.714;0.784;0.133;6;0.967;0.714;0.784;0.133;6
WebApp;0.996;0.807;0.864;0.157;6;0.996;0.807;0.864;0.157;6
