CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LWL;0.680;0.525;0.568;0.023;50;1.000;0.771;0.835;0.032;34
IBk;1.000;1.000;1.000;0.023;50;1.000;1.000;1.000;0.023;50
HoeffdingTree;0.190;0.222;0.149;0.023;50;0.413;0.483;0.325;0.033;23
KStar;0.680;0.525;0.568;0.023;50;1.000;0.771;0.835;0.032;34
StochasticGradientDescend;0.069;0.171;0.059;0.023;50;0.267;0.659;0.225;0.051;13
NaiveBayesUpdateable;0.342;0.116;0.151;0.023;50;0.900;0.304;0.397;0.048;19


VALIDITY RATIO;(F)
min;0.000244
avg;0.023401
max;0.157227

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.494;0.426;0.416;0.023;300;0.856;0.739;0.721;0.033;173

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Loja Virtual;0.769;0.832;0.694;0.028;6;0.769;0.832;0.694;0.028;6
CCCMS;0.843;0.997;0.863;0.059;6;0.843;0.997;0.863;0.059;6
Bicis_Feature_Model;0.167;0.167;0.167;0.007;6;1.000;1.000;1.000;0.007;1
Phone sple;0.546;0.519;0.521;0.027;6;0.819;0.779;0.781;0.027;4
test gv;0.667;0.520;0.546;0.032;6;1.000;0.780;0.819;0.032;4
SmartHome- Simplified Sample;0.500;0.227;0.269;0.005;6;1.000;0.455;0.538;0.005;3
UPL;0.500;0.307;0.364;0.009;6;1.000;0.614;0.728;0.009;3
SmartHome_vConejero_r1;0.167;0.167;0.167;0.001;6;1.000;1.000;1.000;0.001;1
CFDP Library;0.889;0.700;0.730;0.058;12;0.889;0.700;0.730;0.058;12
ordem;0.667;0.456;0.481;0.028;6;1.000;0.684;0.721;0.028;4
Text Editor;0.168;0.319;0.168;0.003;6;0.503;0.958;0.505;0.003;2
KIModel;0.167;0.256;0.167;0.002;6;0.501;0.769;0.502;0.002;2
AA;0.500;0.402;0.443;0.017;6;1.000;0.804;0.885;0.017;3
Prontuário Eletrônico de Pacientes;0.500;0.409;0.447;0.011;6;1.000;0.818;0.895;0.011;3
AvionFEatures;0.523;0.397;0.389;0.013;6;0.784;0.596;0.584;0.013;4
test_fm;0.167;0.167;0.167;0.002;6;1.000;1.000;1.000;0.002;1
CIMS PL;0.167;0.167;0.167;0.002;6;1.000;1.000;1.000;0.002;1
VODPlayer;0.500;0.493;0.497;0.048;6;0.750;0.740;0.745;0.048;4
isolation;0.167;0.167;0.167;0.004;6;1.000;1.000;1.000;0.004;1
Example Mobile Phone;0.500;0.211;0.245;0.015;6;1.000;0.422;0.490;0.015;3
desordem;0.667;0.456;0.481;0.028;6;1.000;0.684;0.721;0.028;4
rtrt;0.833;0.567;0.611;0.020;6;1.000;0.680;0.733;0.020;5
RE;0.826;0.706;0.734;0.012;6;0.826;0.706;0.734;0.012;6
Computer Selection;0.167;0.167;0.167;0.003;6;1.000;1.000;1.000;0.003;1
MyFM;0.167;0.167;0.167;0.020;6;1.000;1.000;1.000;0.020;1
MyFeatureModel;0.667;0.361;0.446;0.018;6;1.000;0.542;0.669;0.018;4
Mobile Game;0.967;0.714;0.784;0.133;6;0.967;0.714;0.784;0.133;6
Mobile Phone, until relase 5;0.167;0.167;0.167;0.001;6;1.000;1.000;1.000;0.001;1
SAL;0.167;0.179;0.167;0.013;6;0.501;0.538;0.502;0.013;2
Doorlopende reisverzekering;0.667;0.513;0.530;0.016;6;1.000;0.769;0.795;0.016;4
WB2;0.749;0.616;0.651;0.049;6;0.749;0.616;0.651;0.049;6
VOD feature model;0.500;0.490;0.495;0.016;6;1.000;0.980;0.990;0.016;3
Asghar;0.500;0.318;0.375;0.016;6;0.600;0.382;0.450;0.016;5
FM1;0.167;0.250;0.167;0.000;6;0.500;0.750;0.500;0.000;2
Mauricio Alférez;0.500;0.227;0.269;0.005;6;1.000;0.455;0.538;0.005;3
MobileMedia;0.667;0.511;0.535;0.028;6;1.000;0.767;0.802;0.028;4
Phone;0.667;0.535;0.564;0.046;6;1.000;0.803;0.846;0.046;4
MiniRPG;0.167;0.216;0.167;0.002;6;0.501;0.647;0.501;0.002;2
IntelligentTutoringSystem;0.684;0.747;0.557;0.021;6;0.684;0.747;0.557;0.021;6
IDE4OCL;0.168;0.331;0.169;0.004;6;0.503;0.992;0.507;0.004;2
ETRobocon;0.699;0.988;0.723;0.059;6;0.699;0.988;0.723;0.059;6
G10-music player;0.504;0.669;0.488;0.008;6;0.604;0.803;0.586;0.008;5
aaaaaa;0.500;0.500;0.500;0.008;6;0.750;0.750;0.750;0.008;4
E-portal;0.500;0.255;0.294;0.008;6;0.750;0.382;0.441;0.008;4
carpl;0.167;0.167;0.167;0.003;6;1.000;1.000;1.000;0.003;1
Ökonomische Merkmale;0.625;0.467;0.505;0.024;6;0.938;0.700;0.758;0.024;4
FeatureModel1;0.500;0.480;0.490;0.017;6;1.000;0.961;0.980;0.017;3
Simnumero;0.167;0.167;0.167;0.009;6;1.000;1.000;1.000;0.009;1
WebApp;0.996;0.807;0.864;0.157;6;0.996;0.807;0.864;0.157;6
