model;features;tree_constraints;cross_constraints;valid;invalid
Aircraft PL;[FeatureId[Aircraft], FeatureId[Wing], FeatureId[High], FeatureId[Shoulder], FeatureId[Low], FeatureId[Engine], FeatureId[Jet], FeatureId[Piston], FeatureId[Materials], FeatureId[Metal], FeatureId[Wood], FeatureId[Cloth], FeatureId[Plastic]];7;0;315;7877
Car PL;[FeatureId[_id_0], FeatureId[_id_1], FeatureId[_id_2], FeatureId[_id_4], FeatureId[enhanced_avoidance], FeatureId[parallel_parking], FeatureId[_id_5], FeatureId[lateral_range_finder], FeatureId[forward_range_finder], FeatureId[_id_0_10], FeatureId[_id_0_11], FeatureId[_id_0_11_12_13], FeatureId[_id_0_11_12_14], FeatureId[_id_0_11_12_15]];7;2;88;16296
CFDP Library;[FeatureId[CFDP_Library], FeatureId[send], FeatureId[Send_Acknowledged_Mode], FeatureId[send_fs_operations], FeatureId[receive], FeatureId[Receive_Acknowledged_Mode], FeatureId[receive_fs_operations], FeatureId[pus], FeatureId[pus_rename], FeatureId[pus_copy], FeatureId[Reboot], FeatureId[Reboot_Entity], FeatureId[reboot_pus]];6;5;319;7873
Connector PL;[FeatureId[Connector], FeatureId[Paradigm], FeatureId[Client/Server], FeatureId[Synchronous], FeatureId[Timeout], FeatureId[Asynchronous], FeatureId[Polling], FeatureId[Blocking], FeatureId[Non-blocking], FeatureId[Callback], FeatureId[Message-Based], FeatureId[Sender], FeatureId[Receiver], FeatureId[Pull], FeatureId[Queued], FeatureId[Non-Queued], FeatureId[Push], FeatureId[Technology], FeatureId[CAN], FeatureId[Local]];18;0;18;1048558
CFDP Library;[FeatureId[_r], FeatureId[_r_1_2], FeatureId[_r_1_2_3], FeatureId[_r_1_2_4], FeatureId[_r_1_5], FeatureId[_r_1_5_6], FeatureId[_r_1_5_7], FeatureId[_r_1_8], FeatureId[_r_1_8_9], FeatureId[_r_1_8_10], FeatureId[_r_1_11], FeatureId[_r_1_11_12], FeatureId[_r_1_11_14]];6;0;624;7568
SAL;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4], FeatureId[_r_1_5], FeatureId[_r_2], FeatureId[_r_2_6_7], FeatureId[_r_2_6_8], FeatureId[_r_3], FeatureId[_r_3_9_10], FeatureId[_r_3_9_11]];7;1;12;1012
IntelligentTutoringSystem;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_5_6], FeatureId[_r_1_5_7], FeatureId[_r_1_8], FeatureId[_r_2], FeatureId[_r_2_9], FeatureId[_r_2_10], FeatureId[_r_3], FeatureId[_r_4], FeatureId[_r_4_11_12], FeatureId[_r_4_11_14]];7;1;84;4012
Mobile Game;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_6_7], FeatureId[_r_1_6_8], FeatureId[_r_1_6_9], FeatureId[_r_1_6_10], FeatureId[_r_2], FeatureId[_r_2_12], FeatureId[_r_3], FeatureId[_r_3_13]];5;0;135;889
Mobile Games;[FeatureId[_r], FeatureId[_r_3], FeatureId[_r_3_29_30], FeatureId[_r_3_29_32], FeatureId[_r_3_29_33], FeatureId[_r_3_29_34], FeatureId[_r_9], FeatureId[_r_9_10], FeatureId[_r_11], FeatureId[_r_11_13], FeatureId[_r_17], FeatureId[_r_17_19], FeatureId[_r_20], FeatureId[_r_20_22], FeatureId[_r_23], FeatureId[_r_23_24]];8;1;3645;61891
E-portal;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_4], FeatureId[_r_4_5], FeatureId[_r_4_6], FeatureId[_r_4_7], FeatureId[_r_4_7_9_10], FeatureId[_r_4_7_9_11], FeatureId[_r_4_8]];8;0;16;2032
